therapist name,qualification,location,availability,experience,average fees
Dr. Ravi Kumar,Ph.D in Clinical Psychology,Bangalore,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",10,1500
Ms. Priya Singh,M.A in Counseling Psychology,Delhi,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",8,1200
Dr. Amit Patel,M.D in Psychiatry,Mumbai,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",12,2000
Ms. Sangeeta Gupta,M.A in Clinical Psychology,Hyderabad,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",5,1000
Dr. Rajesh Verma,Ph.D in Clinical Psychology,Pune,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",7,1800
Ms. Nisha Singh,M.A in Counseling Psychology,Ahmedabad,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",6,1300
Dr. Anand Patel,M.D in Psychiatry,Chennai,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",9,1900
Ms. Rashmi Gupta,M.A in Clinical Psychology,Kolkata,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",4,800
Dr. Rohit Verma,Ph.D in Clinical Psychology,Jaipur,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",11,2200
Ms. Meera Singh,M.A in Counseling Psychology,Lucknow,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",3,700
Dr. Suresh Patel,M.D in Psychiatry,Kochi,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",1,500
Ms. Revathy Gupta,M.A in Clinical Psychology,Thiruvananthapuram,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",2,600
Dr. Arjun Verma,Ph.D in Clinical Psychology,Patna,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",4,1000
Ms. Sita Singh,M.A in Counseling Psychology,Ranchi,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",1,400
Dr. Vijay Patel,M.D in Psychiatry,Guwahati,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",3,700
Ms. Lakshmi Gupta,M.A in Clinical Psychology,Visakhapatnam,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",2,500
Dr. Hari Verma,Ph.D in Clinical Psychology,Bhubaneswar,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",5,1200
Ms. Uma Singh,M.A in Counseling Psychology,Jammu,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",1,300
Dr. Rakesh Patel,M.D in Psychiatry,Srinagar,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",6,1400
Ms. Swati Gupta,M.A in Clinical Psychology,Dharwad,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",2,500
Dr. Suresh Verma,Ph.D in Clinical Psychology,Bikaner,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",7,1700
Ms. Neha Singh,M.A in Counseling Psychology,Jalandhar,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",3,600
Dr. Rohit Patel,M.D in Psychiatry,Ghaziabad,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",8,1600
Ms. Riya Gupta,M.A in Clinical Psychology,Agra,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",1,300
Dr. Rajesh Verma,Ph.D in Clinical Psychology,Mysore,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",9,1800
Ms. Nisha Singh,M.A in Counseling Psychology,Surat,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",4,800
Dr. Anand Patel,M.D in Psychiatry,Coimbatore,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",10,2100
Ms. Rashmi Gupta,M.A in Clinical Psychology,Bhubaneswar,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",5,1100
Dr. Aarav Singh,M.D in Psychiatry,Hyderabad,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",1,550
Ms. Ananya Verma,M.A in Clinical Psychology,Jaipur,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",2,650
Dr. Aryan Patel,Ph.D in Clinical Psychology,Ahmedabad,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",4,1100
Ms. Aisha Singh,M.A in Counseling Psychology,Kolkata,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",1,450
Dr. Aarav Gupta,M.D in Psychiatry,Chennai,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",3,750
Ms. Ananya Singh,M.A in Clinical Psychology,Lucknow,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",2,550
Dr. Aryan Verma,Ph.D in Clinical Psychology,Pune,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",5,1250
Ms. Aisha Patel,M.A in Counseling Psychology,Thiruvananthapuram,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",1,350
Dr. Aarav Gupta,M.D in Psychiatry,Delhi,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",6,1500
Ms. Ananya Singh,M.A in Clinical Psychology,Mumbai,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",2,600
Dr. Aryan Verma,Ph.D in Clinical Psychology,Bangalore,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",7,1750
Ms. Aisha Patel,M.A in Counseling Psychology,Patna,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",3,700
Dr. Aarav Gupta,M.D in Psychiatry,Kochi,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",8,1600
Ms. Ananya Singh,M.A in Clinical Psychology,Kanpur,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",1,300
Dr. Aryan Verma,Ph.D in Clinical Psychology,Nagpur,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",9,1850
Ms. Aisha Patel,M.A in Counseling Psychology,Jammu,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",4,850
Dr. Aarav Gupta,M.D in Psychiatry,Ranchi,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",10,2200
Ms. Ananya Singh,M.A in Clinical Psychology,Bhubaneswar,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",5,1200
Dr. Aryan Verma,Ph.D in Clinical Psychology,Ghaziabad,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",6,1550
Ms. Aisha Patel,M.A in Counseling Psychology,Agra,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",1,350
Dr. Aarav Gupta,M.D in Psychiatry,Jaipur,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",7,1750
Ms. Ananya Singh,M.A in Clinical Psychology,Hyderabad,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",2,600
Dr. Aryan Verma,Ph.D in Clinical Psychology,Lucknow,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",8,1650
Ms. Aisha Patel,M.A in Counseling Psychology,Bangalore,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",3,750
Dr. Aarav Gupta,M.D in Psychiatry,Chennai,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",9,1850
Ms. Ananya Singh,M.A in Clinical Psychology,Kolkata,"Tuesday, Thursday, Saturday, 11:00 AM - 7:00 PM",1,300
Dr. Aryan Verma,Ph.D in Clinical Psychology,Delhi,"Monday, Wednesday, Friday, 10:00 AM - 6:00 PM",10,2200
Ms. Aisha Patel,M.A in Counseling Psychology,Mumbai,"Tuesday, Thursday, Saturday, 9:00 AM - 5:00 PM",4,850
Dr. Aarav Singh,Ph.D in Clinical Psychology,Ahmedabad,"Monday, Wednesday, Friday, 11:00 AM - 7:00 PM",5,1400
Ms. Ananya Gupta,M.A in Counseling Psychology,Pune,"Tuesday, Thursday, Saturday, 10:00 AM - 6:00 PM",2,500
Dr. Aryan Patel,M.D in Psychiatry,Surat,"Monday, Wednesday, Friday, 9:00 AM - 5:00 PM",7,1500
